,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
28,Keshav Puram ,19,19,19,18,18,16,16,15,15,12,12,10,8,10,12,12,15,15,15,16,16,16,18,18,18,19,8,8,8,10,10,12,12,15,19,19,18,18,18,16,16,15,15,16,16,16,16,18,18,18,18,19,19,21,21,21,22,22,23,23,25,25,27,27,28,28,28,29,29,23,22,22,22,21,21,21,25,25,25,23,23,23,22,22,21,21,19,19,18,18,18,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,28,28,28,28,29,29,29,29,18,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27
29,Netaji Subash Place,21,19,19,19,18,18,16,16,15,15,15,12,10,12,12,15,15,16,16,16,18,18,18,18,19,19,10,8,8,8,10,10,12,12,21,19,19,18,18,18,16,16,16,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,25,25,27,27,28,28,28,29,29,29,23,23,23,22,22,22,21,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,30,19,21,21,21,22,22,23,23,23,23,25,25,25,27,27,27
30,Kohat Enclave,21,21,19,19,19,18,18,16,16,15,15,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,10,10,8,8,8,8,10,12,21,21,19,19,18,18,18,16,16,16,18,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,25,27,27,28,29,29,29,29,30,25,23,23,23,22,22,22,27,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,29,30,19,21,21,22,22,23,23,23,25,25,25,25,27,27,28,28
31,Pitam Pura,21,21,21,19,19,19,18,16,16,16,15,15,12,15,15,16,16,16,18,18,18,19,19,19,21,21,12,10,10,8,8,8,10,10,22,21,21,19,19,18,18,18,16,18,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,25,27,27,27,28,29,29,29,29,30,25,25,23,23,23,22,22,27,27,27,25,25,25,23,23,23,22,22,21,21,19,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,19,21,22,22,23,23,23,25,25,25,25,27,27,27,28,28
32,RohiniEast,22,21,21,21,19,19,18,18,16,16,16,15,15,15,15,16,16,18,18,18,19,19,19,19,21,21,12,12,10,8,8,8,8,10,22,21,21,19,19,19,18,18,18,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,27,27,27,28,28,29,29,29,30,30,25,25,25,23,23,23,22,27,27,27,25,25,25,25,23,23,22,22,21,21,21,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,21,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28
33,Rohini West,22,22,22,21,21,19,19,18,18,16,16,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,15,12,12,10,10,8,8,8,22,22,21,21,19,19,19,18,18,18,19,19,19,19,21,21,21,22,22,23,23,23,25,25,25,27,27,28,28,29,29,29,30,30,30,27,25,25,25,23,23,23,28,27,27,27,25,25,25,25,23,23,22,22,21,21,21,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,21,22,23,23,23,25,25,25,25,27,27,27,27,28,28,29
34,Rithala,23,22,22,21,21,21,19,18,18,18,16,16,15,16,16,18,18,18,19,19,19,21,21,21,22,22,15,15,12,12,10,10,8,8,23,22,22,21,21,21,19,19,18,19,19,19,19,21,21,22,22,22,23,23,23,25,25,25,27,27,28,28,28,29,29,30,30,30,30,27,25,25,25,25,23,23,28,28,27,27,27,25,25,25,25,23,23,22,22,21,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,22,22,23,23,25,25,25,25,27,27,27,27,28,28,29,29
35,Jahangirpuri,21,21,19,19,18,18,18,16,16,16,18,18,19,19,21,21,21,22,22,22,23,23,23,23,25,25,19,19,21,21,22,22,22,23,8,8,10,12,12,15,15,15,16,16,18,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,27,27,28,28,29,29,29,29,25,23,23,22,22,22,21,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,30,19,21,21,22,22,22,23,23,23,25,25,25,27,27,27,28
36,Adarsh Nagar,19,19,19,18,18,18,16,15,16,16,16,18,18,19,19,21,21,21,22,22,22,22,23,23,23,25,19,19,19,21,21,21,22,22,8,8,8,10,12,12,15,15,15,16,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,27,28,28,29,29,29,23,23,22,22,22,21,21,25,25,25,23,23,23,22,22,22,21,19,19,19,18,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,18,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27
37,Azadpur,19,19,18,18,18,16,16,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,18,18,19,19,21,21,21,22,10,8,8,8,10,10,12,12,15,15,16,16,16,16,18,18,18,19,19,19,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,23,22,22,22,21,21,19,25,25,23,23,23,22,22,22,21,21,19,18,18,18,16,16,18,18,18,19,19,21,21,21,22,22,22,22,23,23,23,25,25,25,27,27,27,28,28,28,28,29,29,29,18,19,19,21,21,21,22,22,22,23,23,25,25,25,27,27
