,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135
85,Akshardham,21,21,21,19,19,19,18,16,18,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,21,21,21,22,22,22,23,23,21,21,21,19,19,18,18,18,16,16,15,15,15,15,15,15,16,16,18,18,18,19,19,21,21,22,22,23,23,25,25,27,27,27,28,16,15,15,15,12,10,10,16,16,15,15,15,12,12,10,8,8,8,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,15,16,18,18,19,19,19,21,21,21,22,22,22,23,23,25
86,Yamuna Bank,21,21,19,19,18,18,16,16,16,16,18,18,19,19,19,21,21,22,22,22,23,23,23,23,25,25,19,19,21,21,22,22,22,23,21,19,19,19,18,18,16,16,16,15,15,15,15,12,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,23,25,25,27,27,27,15,15,12,12,10,10,8,18,16,16,15,15,15,12,12,10,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,27,27,27,27,28,15,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23
87,Indraprasta,19,19,19,18,18,16,16,15,15,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,18,19,19,21,21,21,22,22,19,19,18,18,18,16,16,15,15,15,12,12,12,10,12,12,15,15,15,16,16,16,18,19,19,21,21,22,22,23,25,25,25,27,27,16,15,15,15,12,12,10,18,18,16,16,16,15,15,15,12,10,8,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,25,25,25,25,27,27,27,12,15,16,16,16,18,18,19,19,19,21,21,21,22,22,23
88,Pragati Maidan,19,19,18,18,16,16,16,15,15,15,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,18,18,19,19,21,21,21,22,19,19,18,18,16,16,16,15,15,12,12,12,10,10,10,12,12,15,15,16,16,16,18,18,19,19,21,21,22,23,23,25,25,25,27,16,16,15,15,15,12,10,19,18,18,16,16,16,15,15,15,12,10,8,8,8,8,10,10,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,12,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22
89,Mandi House,19,18,18,18,16,16,15,12,15,15,15,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,18,18,19,19,19,21,21,21,19,18,18,16,16,16,15,15,12,12,10,10,10,8,10,10,12,12,15,15,16,16,16,18,18,19,19,21,21,22,23,23,25,25,27,16,16,16,15,15,12,12,19,18,18,18,16,16,16,15,15,12,10,8,8,8,8,8,10,10,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,10,15,15,15,16,16,18,18,18,18,19,19,21,21,22,22
90,Barakhamba,18,18,18,16,16,15,15,12,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,16,18,18,19,19,19,21,21,18,18,16,16,16,15,15,12,12,10,10,10,8,8,8,10,10,12,12,15,15,16,16,18,18,19,19,21,21,22,23,23,25,25,25,18,16,16,16,15,15,12,19,19,18,18,18,16,16,16,15,15,12,10,8,8,8,8,8,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,27,10,12,15,15,16,16,16,18,18,18,19,19,19,21,21,22
91,Rajiv Chowk,18,18,16,16,16,15,15,12,12,15,15,15,16,16,18,18,19,19,19,19,21,21,21,22,22,22,16,18,18,18,19,19,19,21,18,18,16,16,15,15,15,12,12,10,8,8,8,8,8,10,10,12,12,15,15,15,16,16,18,18,19,19,21,22,23,23,23,25,25,18,16,16,16,15,15,15,19,19,19,18,18,16,16,16,15,15,12,10,10,8,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,10,12,15,15,15,16,16,16,18,18,18,19,19,21,21,22
92,RK Ashram Marg,18,18,18,16,16,16,15,12,15,15,15,16,16,18,18,19,19,19,21,21,21,21,22,22,22,23,18,18,18,19,19,19,21,21,19,18,18,16,16,15,15,15,12,12,10,10,10,8,10,10,10,12,15,15,15,16,16,18,18,19,19,21,21,22,23,23,25,25,25,18,18,18,16,16,15,15,21,19,19,19,18,18,18,16,16,15,15,12,10,10,8,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,10,12,15,15,16,16,16,18,18,18,19,19,21,21,22,22
93,Jhandewalan,19,19,18,18,16,16,15,15,15,15,16,16,18,18,18,19,19,21,21,21,22,22,22,22,23,23,18,18,19,19,21,21,21,22,19,19,18,18,16,16,15,15,15,12,12,12,10,10,10,12,12,15,15,15,16,16,18,18,19,19,21,21,22,23,23,25,25,25,27,19,18,18,18,16,16,15,21,21,19,19,19,18,18,18,16,16,15,12,12,10,10,10,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,12,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22
94,Karol Bagh,19,19,19,18,18,16,16,15,15,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,18,19,19,21,21,21,22,22,19,19,18,18,18,16,16,15,15,15,12,12,12,10,12,12,15,15,15,16,16,16,18,19,19,21,21,22,22,23,25,25,25,27,27,19,19,18,18,18,16,16,22,21,21,19,19,19,18,18,18,16,15,15,15,12,12,10,10,8,8,8,8,10,12,12,15,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,22,23,23,25,12,15,16,16,16,18,18,19,19,19,21,21,21,22,22,23
95,Rajendra Place,21,19,19,19,18,18,16,15,16,16,16,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,19,19,21,21,21,22,22,22,21,19,19,18,18,18,16,16,15,15,15,15,12,12,12,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,25,25,25,27,27,19,19,19,18,18,18,16,22,22,21,21,19,19,19,18,18,16,16,15,15,15,12,12,10,10,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,22,23,23,15,15,16,16,18,18,19,19,19,19,21,21,22,22,23,23
96,Patel Nagar,21,21,19,19,18,18,18,16,16,16,18,18,19,19,21,21,21,22,22,22,23,23,23,23,25,25,19,19,21,21,22,22,22,23,21,21,19,19,18,18,16,16,16,15,15,15,15,12,15,15,15,16,16,18,18,18,19,19,21,21,22,22,23,25,25,25,27,27,27,21,19,19,19,18,18,16,22,22,21,21,21,19,19,19,18,18,16,15,15,15,15,12,12,10,8,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,21,21,21,22,22,22,23,15,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23
97,Shadi Pur,21,21,21,19,19,19,18,16,18,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,21,21,21,22,22,22,23,23,21,21,21,19,19,18,18,18,16,16,15,15,15,15,15,15,16,16,18,18,18,19,19,21,21,22,22,23,23,25,25,27,27,27,28,21,21,19,19,19,18,18,23,22,22,21,21,21,19,19,19,18,16,16,16,15,15,15,12,12,10,10,8,8,8,8,10,10,12,12,15,15,15,16,16,18,18,18,19,19,21,21,21,22,22,23,15,16,18,18,19,19,19,21,21,21,22,22,22,23,23,25
98,Kirti Nagar,22,21,21,21,19,19,18,16,18,18,18,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,21,21,22,22,22,23,23,23,22,21,21,19,19,19,18,18,16,16,16,16,15,15,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,27,27,27,28,28,22,21,21,19,19,19,18,23,23,22,22,21,21,21,19,19,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,19,19,19,21,21,21,22,22,16,18,18,18,19,19,21,21,21,21,22,22,23,23,25,25
99,Moti Nagar ,22,22,21,21,19,19,19,18,18,18,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,21,21,22,22,23,23,23,25,22,22,21,21,19,19,19,18,18,16,16,16,16,15,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,27,28,28,22,21,21,21,19,19,19,23,23,22,22,22,21,21,21,19,19,18,16,16,16,16,15,15,15,12,12,10,8,8,8,8,10,10,12,12,15,15,15,16,16,16,18,18,19,19,19,21,21,21,22,16,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25
100,Ramesh Nagar,22,22,22,21,21,21,19,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,22,22,22,23,23,23,25,25,22,22,22,21,21,19,19,19,18,18,16,16,16,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,27,28,28,29,22,22,21,21,21,19,19,25,23,23,22,22,22,21,21,21,19,18,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,10,10,10,12,12,15,15,16,16,16,18,18,19,19,19,21,21,22,16,18,19,19,21,21,21,22,22,22,23,23,23,25,25,27
101,Rajouri Garden,23,22,22,22,21,21,19,18,19,19,19,21,21,22,22,23,23,23,25,25,25,25,27,27,27,27,22,22,23,23,23,25,25,25,23,22,22,21,21,21,19,19,18,18,18,18,16,16,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,27,27,28,28,28,29,23,22,22,21,21,21,19,25,25,23,23,22,22,22,21,21,19,19,18,18,18,16,16,16,15,15,15,12,10,10,10,8,8,8,10,10,10,12,15,15,15,16,16,18,18,18,19,19,19,21,21,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,27
102,Tagore Garden,23,23,22,22,22,21,21,19,19,21,21,21,22,22,23,23,25,25,25,25,25,27,27,27,27,28,22,22,23,23,25,25,25,25,23,23,22,22,21,21,21,19,19,18,18,18,18,16,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,23,22,22,22,21,21,21,25,25,25,23,23,22,22,22,21,21,19,19,18,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,8,10,10,12,15,15,15,16,16,18,18,18,19,19,19,21,18,19,19,21,21,22,22,22,23,23,23,25,25,25,27,27
103,Subash Nagar,23,23,23,22,22,21,21,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,23,23,23,25,25,25,25,27,23,23,22,22,22,21,21,21,19,19,18,18,18,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,27,28,28,29,29,29,23,23,22,22,22,21,21,25,25,25,23,23,23,22,22,22,21,19,19,19,18,18,18,16,16,16,15,15,12,12,12,10,10,8,8,8,8,10,12,12,15,15,15,16,16,18,18,18,19,19,21,18,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27
104,Tilak Nagar,25,23,23,23,22,22,21,19,21,21,21,22,22,23,23,25,25,25,25,27,27,27,27,28,28,28,23,23,25,25,25,25,27,27,25,23,23,22,22,22,21,21,19,19,19,19,18,18,18,19,19,19,21,21,22,22,22,23,23,25,25,27,27,28,28,28,29,29,29,25,23,23,22,22,22,21,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,18,18,16,16,16,15,15,15,12,10,10,8,8,8,8,8,10,12,12,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,23,25,25,25,27,27,28
105,Janak Puri East,25,25,23,23,23,22,22,21,21,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28,28,28,23,23,25,25,25,27,27,27,25,25,23,23,22,22,22,21,21,19,19,19,19,18,19,19,19,21,21,22,22,22,23,23,25,25,25,27,27,28,28,29,29,29,30,25,23,23,23,22,22,22,27,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,18,18,16,16,16,15,15,15,12,10,10,8,8,8,8,10,10,12,12,15,15,16,16,16,18,18,18,19,19,21,21,22,22,22,23,23,25,25,25,25,27,27,27,28
106,Janak Puri West,25,25,25,23,23,22,22,21,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28,28,28,29,23,25,25,25,27,27,27,27,25,25,23,23,23,22,22,21,21,21,19,19,19,19,19,19,21,21,21,22,22,23,23,25,25,25,27,27,27,28,29,29,29,29,30,25,25,23,23,23,22,22,27,27,25,25,25,25,23,23,23,22,21,21,21,19,19,19,18,18,18,16,16,15,15,15,12,12,10,10,8,8,8,8,10,10,12,12,15,15,16,16,16,18,18,19,19,21,22,22,23,23,23,25,25,25,25,27,27,27,28,28
107,Uttam Nagar East,25,25,25,25,23,23,22,22,22,22,23,23,25,25,25,27,27,27,27,27,28,28,28,28,29,29,25,25,25,27,27,27,27,28,27,25,25,23,23,23,22,22,22,21,21,21,21,19,21,21,21,22,22,22,23,23,25,25,25,27,27,27,28,28,29,29,29,30,30,25,25,25,23,23,23,22,27,27,27,27,25,25,25,23,23,22,22,21,21,21,19,19,19,18,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,10,10,12,15,15,15,15,16,16,18,18,21,22,22,22,23,23,25,25,25,25,27,27,27,28,28,28
108,Uttam Nagar West,27,25,25,25,25,23,23,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,25,25,27,27,27,27,28,28,27,25,25,25,23,23,23,22,22,22,21,21,21,19,21,21,21,22,22,23,23,23,25,25,25,27,27,28,28,29,29,29,30,30,30,27,25,25,25,23,23,23,28,27,27,27,25,25,25,25,23,23,22,22,21,21,21,19,19,19,18,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,10,10,12,15,15,15,15,16,16,18,21,22,23,23,23,25,25,25,25,27,27,27,27,28,28,29
109,Nawada,27,27,25,25,25,25,23,22,23,23,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,29,25,27,27,27,27,28,28,28,27,27,25,25,25,23,23,23,22,22,21,21,21,21,21,22,22,22,23,23,23,25,25,25,27,27,28,28,28,29,29,30,30,30,30,27,25,25,25,25,23,23,28,28,27,27,27,25,25,25,25,23,23,22,22,21,21,21,19,19,19,18,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,10,12,12,12,15,15,15,16,16,22,22,23,23,25,25,25,25,27,27,27,27,28,28,29,29
110,Dwaraka Mor,27,27,27,25,25,25,23,23,23,23,25,25,25,27,27,27,28,28,28,28,29,29,29,29,29,30,27,27,27,28,28,28,28,29,27,27,27,25,25,25,23,23,23,22,22,22,22,21,22,22,22,23,23,23,25,25,25,27,27,27,28,28,29,29,30,30,30,30,30,27,27,27,25,25,25,23,28,28,28,27,27,27,25,25,25,23,23,22,22,22,21,21,21,19,19,19,18,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,10,10,12,12,15,15,15,16,22,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29
111,Dwarka,28,27,27,27,25,25,25,23,23,25,25,25,27,27,27,28,28,28,28,29,29,29,29,29,30,30,27,27,28,28,28,28,29,29,28,27,27,27,25,25,25,23,23,23,22,22,22,22,22,22,23,23,23,25,25,25,27,27,27,28,28,29,29,29,30,30,30,30,30,27,27,27,27,25,25,25,29,28,28,28,27,27,27,27,25,25,23,23,23,22,22,22,21,21,21,19,19,18,18,18,16,16,16,15,15,15,12,12,10,10,8,8,8,10,10,12,12,15,15,16,22,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29
112,Dwarka Sector - 14,28,28,27,27,27,27,25,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,29,30,30,30,27,28,28,28,28,29,29,29,28,28,27,27,27,25,25,25,25,23,23,23,23,22,23,23,23,25,25,25,25,27,27,27,28,28,29,29,29,30,30,30,30,30,30,28,27,27,27,27,25,25,29,29,28,28,28,28,27,27,27,25,25,23,23,23,22,22,22,21,21,21,19,19,19,18,18,18,16,16,16,15,15,15,12,12,10,8,8,8,8,10,10,12,12,15,23,25,25,25,27,27,27,27,28,28,28,28,29,29,29,30
113,Dwarka Sector - 13,28,28,28,27,27,27,25,25,25,25,27,27,27,28,28,28,29,29,29,29,29,29,30,30,30,30,28,28,28,28,29,29,29,29,28,28,28,27,27,27,25,25,25,25,23,23,23,22,23,23,23,25,25,25,27,27,27,28,28,28,29,29,29,30,30,30,30,30,30,28,28,27,27,27,27,25,29,29,29,28,28,28,27,27,27,25,25,25,23,23,23,22,22,22,21,21,21,19,19,19,18,18,18,16,16,16,15,15,15,12,10,10,8,8,8,8,10,12,12,15,23,25,25,25,27,27,27,28,28,28,28,29,29,29,30,30
114,Dwarka Sector - 12,28,28,28,28,27,27,27,25,25,27,27,27,28,28,28,29,29,29,29,29,29,30,30,30,30,30,28,28,28,29,29,29,29,29,28,28,28,27,27,27,27,25,25,25,23,23,23,23,23,23,25,25,25,27,27,27,27,28,28,29,29,29,29,30,30,30,30,30,30,28,28,28,27,27,27,27,29,29,29,28,28,28,28,27,27,27,25,25,25,23,23,23,22,22,22,21,21,21,19,19,19,18,18,18,16,16,16,15,15,12,12,10,8,8,8,8,10,10,12,12,23,25,25,27,27,27,28,28,28,28,29,29,29,29,30,30
115,Dwarka Sector - 11,29,28,28,28,28,27,27,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,28,28,29,29,29,29,29,30,29,28,28,28,27,27,27,27,25,25,25,25,25,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,30,30,30,30,30,30,30,29,28,28,28,27,27,27,29,29,29,29,28,28,28,28,27,27,27,25,25,25,23,23,23,22,22,22,21,21,21,19,19,19,18,18,18,16,16,15,15,15,12,12,10,8,8,8,8,10,10,12,25,25,27,27,27,28,28,28,28,29,29,29,29,30,30,30
116,Dwarka Sector - 10,29,29,28,28,28,28,27,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,28,29,29,29,29,29,30,30,29,29,28,28,28,27,27,27,27,25,25,25,25,23,25,25,25,25,27,27,27,28,28,28,29,29,29,30,30,30,30,30,30,30,30,29,28,28,28,28,27,27,30,29,29,29,29,28,28,28,28,27,27,25,25,25,25,23,23,23,22,22,22,21,21,21,19,19,19,18,18,18,16,16,15,15,15,12,10,10,10,8,8,8,10,10,25,27,27,27,28,28,28,28,29,29,29,29,29,30,30,30
117,Dwarka Sector - 9,29,29,29,28,28,28,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30,30,29,29,29,29,29,30,30,30,29,29,29,28,28,28,27,27,27,27,25,25,25,25,25,25,25,27,27,27,28,28,28,29,29,29,30,30,30,30,30,30,30,30,30,29,29,28,28,28,28,27,30,30,29,29,29,29,28,28,28,27,27,27,25,25,25,25,23,23,23,22,22,22,21,21,21,19,19,19,18,18,18,16,16,15,15,15,12,12,10,10,8,8,8,10,25,27,27,28,28,28,28,29,29,29,29,29,30,30,30,30
118,Dwarka Sector - 8,29,29,29,29,28,28,28,27,27,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,29,29,29,29,30,30,30,30,29,29,29,28,28,28,28,27,27,27,25,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,29,29,29,28,28,28,28,30,30,30,29,29,29,29,28,28,28,27,27,27,25,25,25,25,23,23,23,22,22,22,21,21,21,19,19,19,18,18,18,16,16,15,15,12,12,12,10,10,8,8,8,27,27,28,28,28,28,29,29,29,29,29,30,30,30,30,30
119,Dwarka Sector -21,30,29,29,29,29,29,28,28,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,29,29,30,30,30,30,30,30,30,29,29,29,29,28,28,28,28,27,27,27,27,25,27,27,27,27,28,28,28,29,29,29,29,30,30,30,30,30,30,30,30,30,30,30,29,29,29,29,28,28,30,30,30,30,29,29,29,29,29,28,28,27,27,27,27,25,25,25,25,23,23,23,22,22,22,21,21,21,19,19,19,18,18,16,16,16,15,15,12,12,10,10,8,8,27,28,28,28,29,29,29,29,29,30,30,30,30,30,30,30
120,Central Secretariat,19,18,18,18,16,16,15,15,15,15,16,16,18,18,18,19,19,19,21,21,22,22,22,22,23,23,18,18,19,19,19,21,21,22,19,18,18,16,16,16,15,15,15,12,10,10,10,10,8,8,8,8,10,12,12,15,15,16,16,18,18,19,19,21,22,22,23,23,25,19,18,18,16,16,16,15,21,21,19,19,18,18,18,16,16,15,15,12,12,10,10,10,10,12,12,15,15,15,16,16,16,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,27,27,8,10,12,12,15,15,15,16,16,16,18,18,18,19,21,21
121,Khan Market,21,19,19,19,18,18,16,15,16,16,16,18,18,19,19,21,21,21,22,22,22,23,23,23,25,25,19,19,21,21,21,22,22,22,21,19,19,18,18,18,16,16,15,15,15,15,12,12,10,10,10,12,12,15,15,15,16,18,18,19,19,21,21,22,23,23,23,25,25,19,19,19,18,18,18,16,22,22,21,21,19,19,19,18,18,16,16,15,15,15,12,12,12,15,15,15,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,25,25,25,25,27,27,27,28,10,8,8,10,12,12,15,15,15,15,16,16,18,18,19,19
122,JLN,21,21,19,19,19,18,18,16,16,18,18,19,19,19,21,21,22,22,22,23,23,23,23,25,25,25,19,21,21,21,22,22,23,23,21,21,19,19,18,18,18,16,16,16,15,15,15,15,12,12,12,15,15,15,16,16,18,18,18,19,21,21,22,22,23,25,25,25,27,21,19,19,19,18,18,18,23,22,22,21,21,21,19,19,18,18,16,16,15,15,15,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,27,28,28,12,8,8,8,10,10,12,12,15,15,15,16,16,18,18,19
123,Jangpura,21,21,21,19,19,19,18,16,18,18,18,19,19,21,21,22,22,22,22,23,23,23,25,25,25,25,21,21,21,22,22,22,23,23,22,21,21,19,19,18,18,18,16,16,15,15,15,15,12,12,12,15,15,16,16,16,18,18,19,19,21,21,22,23,25,25,25,25,27,21,21,19,19,19,18,18,23,22,22,22,21,21,19,19,19,18,18,16,16,15,15,15,15,16,16,16,18,18,18,19,19,19,21,21,21,22,22,22,23,23,25,25,25,25,27,27,27,28,28,28,12,10,8,8,8,10,10,12,12,15,15,15,16,16,18,18
124,Lajpat Nagar,22,22,21,21,19,19,19,18,18,18,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,21,21,22,22,23,23,23,25,22,22,21,21,19,19,18,18,18,16,16,16,16,15,15,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,25,25,25,27,27,22,21,21,21,19,19,19,23,23,22,22,22,21,21,21,19,19,18,16,16,16,16,15,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,27,27,27,27,28,28,28,29,15,12,10,8,8,8,10,10,12,12,15,15,15,16,16,18
125,Moolchand,22,22,21,21,21,19,19,18,18,19,19,21,21,22,22,22,23,23,23,25,25,25,25,25,27,27,21,22,22,23,23,23,25,25,22,22,21,21,19,19,19,18,18,18,16,16,16,16,15,15,15,16,16,16,18,18,19,19,21,21,22,22,23,23,25,25,27,27,27,22,22,21,21,19,19,19,25,23,23,22,22,22,21,21,19,19,18,18,16,16,16,16,16,16,18,18,18,19,19,19,21,21,22,22,22,22,23,23,25,25,25,25,27,27,27,28,28,28,28,29,15,12,10,10,8,8,8,10,10,12,12,15,15,15,16,18
126,Kailash Colony,23,22,22,22,21,21,19,18,19,19,19,21,21,22,22,23,23,23,25,25,25,25,27,27,27,27,22,22,23,23,23,25,25,25,23,22,22,21,21,21,19,19,18,18,18,18,16,16,16,15,16,16,16,18,18,18,19,21,21,22,22,23,23,25,25,27,27,27,28,23,22,22,21,21,21,19,25,25,23,23,22,22,22,21,21,19,19,18,18,18,16,16,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,15,15,12,10,10,8,8,8,8,10,12,12,15,15,16,16
127,Nehru Place,23,23,22,22,22,21,21,19,19,21,21,21,22,22,23,23,23,25,25,25,25,27,27,27,27,28,22,22,23,23,25,25,25,25,23,23,22,22,21,21,21,19,19,18,18,18,18,16,16,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,27,27,27,28,28,23,22,22,22,21,21,21,25,25,23,23,23,22,22,22,21,21,19,19,18,18,18,16,18,18,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,16,15,12,12,10,10,8,8,8,8,10,12,12,15,15,16
128,Kalkaji Mandir,23,23,23,22,22,21,21,19,19,21,21,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,22,23,23,25,25,25,25,27,23,23,22,22,22,21,21,19,19,19,18,18,18,18,16,16,16,18,18,19,19,19,21,21,22,22,23,23,25,25,27,27,27,28,28,23,23,22,22,22,21,21,25,25,25,23,23,23,22,22,22,21,19,19,19,18,18,18,18,18,19,19,19,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,28,28,28,28,29,29,29,29,16,15,15,12,12,10,8,8,8,8,10,10,12,12,15,15
129,Govindpuri,25,23,23,22,22,22,21,19,21,21,21,22,22,23,23,25,25,25,25,27,27,27,27,27,28,28,23,23,23,25,25,25,27,27,25,23,23,22,22,22,21,21,19,19,19,19,18,18,18,16,16,18,18,19,19,19,21,22,22,22,23,23,25,25,27,27,28,28,28,23,23,23,22,22,21,21,27,25,25,25,23,23,23,22,22,21,21,19,19,18,18,18,18,19,19,19,21,21,21,22,22,23,23,23,23,25,25,25,27,27,27,27,28,28,28,29,29,29,29,30,16,15,15,15,12,12,10,8,8,8,8,10,10,12,15,15
130,Okhla,25,25,23,23,23,22,22,21,21,22,22,22,23,23,25,25,25,25,27,27,27,27,28,28,28,28,23,23,25,25,25,27,27,27,25,25,23,23,22,22,22,21,21,19,19,19,19,18,18,18,18,18,19,19,21,21,21,22,22,23,23,25,25,27,27,28,28,28,29,25,23,23,23,22,22,22,27,27,25,25,25,23,23,23,22,22,21,21,19,19,19,18,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,18,16,15,15,15,12,12,10,10,8,8,8,10,10,12,15
131,Jasola,25,25,25,23,23,23,22,21,22,22,22,23,23,25,25,25,27,27,27,27,27,28,28,28,28,29,25,25,25,25,27,27,27,27,25,25,25,23,23,22,22,22,21,21,19,19,19,19,18,18,18,19,19,21,21,21,22,22,23,23,25,25,25,27,28,28,28,29,29,25,25,23,23,23,22,22,27,27,27,25,25,25,23,23,23,22,22,21,21,19,19,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,18,16,16,15,15,15,12,12,10,10,8,8,8,10,12,12
132,Sarita Vihar,25,25,25,25,23,23,22,22,22,22,23,23,25,25,25,27,27,27,27,27,28,28,28,28,29,29,25,25,25,27,27,27,27,28,27,25,25,23,23,23,22,22,22,21,21,21,21,19,19,18,19,19,21,21,21,22,22,23,23,25,25,25,27,27,28,28,29,29,29,25,25,25,23,23,23,22,27,27,27,27,25,25,25,23,23,22,22,21,21,21,19,19,21,21,21,22,22,22,23,23,23,25,25,25,25,27,27,27,27,28,28,28,29,29,29,29,29,30,30,30,18,18,16,16,15,15,15,12,12,10,10,8,8,8,10,12
